rank,city,state,population,growth
490,Palatine,Illinois,69350,0.05
491,Missoula,Montana,69122,0.2
492,Rock Hill,South Carolina,69103,0.36
493,Jacksonville,North Carolina,69079,0.05
494,Franklin,Tennessee,68886,0.49
495,Flagstaff,Arizona,68667,0.29
496,Flower Mound,Texas,68609,0.33
497,Weston,Florida,68388,0.35
498,Waterloo,Iowa,68366,-0.01
499,Union City,New Jersey,68247,0.02
500,Mount Vernon,New York,68224,0
501,Fort Myers,Florida,68190,0.31
502,Dothan,Alabama,68001,0.17
503,Rancho Cordova,California,67911,0.26
504,Redondo Beach,California,67815,0.07
505,Jackson,Tennessee,67685,0.13
506,Pasco,Washington,67599,0.99
507,St. Charles,Missouri,67569,0.11
508,Eau Claire,Wisconsin,67545,0.09
509,North Richland Hills,Texas,67317,0.2
510,Bismarck,North Dakota,67034,0.2
511,Yorba Linda,California,67032,0.13
512,Kenner,Louisiana,66975,-0.05
513,Walnut Creek,California,66900,0.04
514,Frederick,Maryland,66893,0.26
515,Oshkosh,Wisconsin,66778,0.05
516,Pittsburg,California,66695,0.17
517,Palo Alto,California,66642,0.14
518,Bossier City,Louisiana,66333,0.17
519,Portland,Maine,66318,0.03
520,St. Cloud,Minnesota,66297,0.11
521,Davis,California,66205,0.12
522,South San Francisco,California,66174,0.09
523,Camarillo,California,66086,0.15
524,North Little Rock,Arkansas,66075,0.09
525,Schenectady,New York,65902,0.07
526,Gaithersburg,Maryland,65690,0.24
527,Harlingen,Texas,65665,0.12
528,Woodbury,Minnesota,65656,0.4
529,Eagan,Minnesota,65453,0.03
530,Yuba City,California,65416,0.28
531,Maple Grove,Minnesota,65415,0.27
532,Youngstown,Ohio,65184,-0.2
533,Skokie,Illinois,65176,0.03
534,Kissimmee,Florida,65173,0.33
535,Johnson City,Tennessee,65123,0.16
536,Victoria,Texas,65098,0.08
537,San Clemente,California,65040,0.29
538,Bayonne,New Jersey,65028,0.05
539,Laguna Niguel,California,64652,0.03
540,East Orange,New Jersey,64544,-0.07
541,Shawnee,Kansas,64323,0.32
542,Homestead,Florida,64079,1.01
544,Rockville,Maryland,64072,0.34
543,Delray Beach,Florida,64072,0.06
545,Janesville,Wisconsin,63820,0.06
546,Conway,Arkansas,63816,0.46
547,Pico Rivera,California,63771,0
548,Lorain,Ohio,63710,-0.07
549,Montebello,California,63495,0.02
550,Lodi,California,63338,0.1
551,New Braunfels,Texas,63279,0.64
552,Marysville,Washington,63269,1.16
553,Tamarac,Florida,63155,0.13
554,Madera,California,63105,0.44
555,Conroe,Texas,63032,0.62
556,Santa Cruz,California,62864,0.13
